host,model,i,action,outcome,code,state_write,admission_ms,decision_ms,encode_ms,commit_ms,projection_ms,e2e_ms
m1-server,tiny,1434,move,accepted,moved,1,0.0091,0.0040,0.0034,0.0636,0.0025,0.0825
m1-server,tiny,1435,move,accepted,moved,1,0.0096,0.0043,0.0034,0.0696,0.0109,0.0979
m1-server,tiny,1436,move,accepted,moved,1,0.0161,0.0045,0.0034,0.0610,0.0028,0.0878
m1-server,tiny,1437,look,accepted,observed,0,0.0098,0.0037,0.0013,0.0492,0.0018,0.0657
m1-server,tiny,1438,move,accepted,moved,1,0.0093,0.0040,0.0035,0.0659,0.0025,0.0851
m1-server,tiny,1439,move,rejected,exit_unavailable,0,0.0097,0.0041,0.0013,0.0451,0.0024,0.0626
m1-server,tiny,1440,move,accepted,moved,1,0.0098,0.0042,0.0034,0.0788,0.0024,0.0986
m1-server,tiny,1441,move,accepted,moved,1,0.0095,0.0043,0.0033,0.0659,0.0027,0.0858
m1-server,tiny,1442,look,accepted,observed,0,0.0097,0.0036,0.0012,0.0472,0.0018,0.0636
m1-server,tiny,1443,wait,rejected,invalid_time,0,0.0092,0.0036,0.0013,0.0533,0.0023,0.0697
m1-server,tiny,1444,move,rejected,exit_unavailable,0,0.0098,0.0040,0.0013,0.0435,0.0023,0.0608
m1-server,tiny,1445,talk,rejected,not_eligible,0,0.0095,0.0039,0.0012,0.0550,0.0019,0.0715
m1-server,tiny,1446,look,accepted,observed,0,0.0089,0.0034,0.0012,0.0517,0.0023,0.0675
m1-server,tiny,1447,look,accepted,observed,0,0.0095,0.0036,0.0012,0.0545,0.0022,0.0710
m1-server,tiny,1448,look,accepted,observed,0,0.0098,0.0036,0.0012,0.0448,0.0017,0.0611
m1-server,tiny,1449,choose,rejected,invalid_choice,0,0.0092,0.0044,0.0013,0.0540,0.0018,0.0707
m1-server,tiny,1450,talk,rejected,not_eligible,0,0.0093,0.0035,0.0013,0.0521,0.0018,0.0679
m1-server,tiny,1451,activate,rejected,not_eligible,0,0.0090,0.0035,0.0012,0.0650,0.0018,0.0805
m1-server,tiny,1452,look,accepted,observed,0,0.0091,0.0032,0.0012,0.0506,0.0017,0.0658
m1-server,tiny,1453,look,accepted,observed,0,0.0095,0.0033,0.0012,0.0524,0.0018,0.0681
m1-server,tiny,1454,move,accepted,moved,1,0.0092,0.0040,0.0035,0.0630,0.0025,0.0822
m1-server,tiny,1455,wait,rejected,invalid_time,0,0.0097,0.0040,0.0013,0.0686,0.0019,0.0856
m1-server,tiny,1456,drop,rejected,integrity_conflict,0,0.0220,0.0033,0.0001,0.0000,0.0016,0.0271
